"","c100_4","c100_4_pooled","c100_4_pooled_supp","c150_4","c150_4_pooled_supp","c150_4_aian","c150_4_aianold","c150_4_asian","c150_4_api","c150_4_black","c150_4_blacknh","c150_4_hisp","c150_4_hispold","c150_4_nhpi","c150_4_nra","c150_4_2mor","c150_4_unkn","c150_4_white","c150_4_whitenh","c150_4_pooled","c200_4_pooled_supp","c100_l4","c100_l4_pooled","c100_l4_pooled_supp","c150_l4","c150_l4_pooled_supp","c150_l4_aian","c150_l4_aianold","c150_l4_asian","c150_l4_api","c150_l4_blacknh","c150_l4_black","c150_l4_hisp","c150_l4_hispold","c150_l4_nhpi","c150_l4_nra","c150_l4_2mor","c150_l4_unkn","c150_l4_whitenh","c150_l4_white","c150_l4_pooled","c200_l4","c200_l4_pooled","c200_l4_pooled_supp","c150_4_loannopell","c150_l4_loannopell","c150_4_pell","c150_l4_pell","c150_4_noloannopell","c150_l4_noloannopell","year"
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148,0.129,0.129,0.3401,0.3181,0.2857,NA,0.5532,NA,NA,0.2198,0.3296,NA,0.25,0.4,0.2857,0.4122,NA,0.3764,0.3181,0.3044,0.3322,0.3322,NA,0.3537,NA,0.29,NA,0.4107,"latest"
"154",0.3924,0.3693,0.3693,0.5142,0.4983,0,NA,0.375,NA,0.4767,NA,0.4579,NA,NA,0.5679,0.625,0.4444,0.5336,NA,0.4983,0.4254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486,NA,0.4834,NA,0.5591,NA,"latest"
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3094,0.3369,0.3369,0.6121,0.6091,NA,NA,0.6667,NA,NA,0.6221,0.6818,NA,0,NA,0.5714,0.48,NA,0.7524,0.6091,0.6083,0.6258,0.6258,NA,0.7111,NA,0.625,NA,0.3333,"latest"
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,0.5936,0.5936,0.7586,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.866,0.9412,0.947,0.947,NA,NA,NA,0.8934,NA,0,"latest"
"157",NA,NA,NA,0.3872,0.3886,0,NA,0.4737,NA,0.2964,NA,0.3808,NA,0.5,0.4286,0.2667,0.2222,0.4282,NA,0.3886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3171,NA,0.3373,NA,0.4769,NA,"latest"
"158",0.1379,0.1449,0.1449,0.3012,0.2752,NA,NA,1,NA,0.32,NA,0.2813,NA,NA,NA,0.5,0.3333,0.25,NA,0.2752,0.5897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2143,NA,0.339,NA,0.2,NA,"latest"
"159",NA,NA,NA,0.3744,0.3525,0.6667,NA,0.5342,NA,0.2617,NA,0.3764,NA,0.4,0.537,0.2923,0.3038,0.4319,NA,0.3525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3028,NA,0.3365,NA,0.4403,NA,"latest"
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1579,0.1457,0.1457,0.3399,0.3273,0,NA,0.3333,NA,NA,0.3511,0.3944,NA,0,NA,0.5556,0.3333,NA,0.2778,0.3273,0.3333,0.3789,0.3789,NA,NA,NA,0.398,NA,0.324,"latest"
"162",0.107,0.1905,0.1905,0.4448,0.4633,0.2909,NA,0.3846,NA,0.3777,NA,0.4819,NA,0.1667,NA,0.3205,0.4516,0.4289,NA,0.4633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3049,NA,0.5377,NA,0.0309,NA,"latest"
"163",0.2,0.1923,0.1923,0.2692,0.3091,NA,NA,NA,NA,0.4,NA,0.3333,NA,NA,NA,NA,NA,0.2,NA,0.3091,0.2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0.3846,NA,0,NA,"latest"
"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2308,0.2549,0.2549,0.8077,0.6667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6667,0.52,0.7083,0.7083,NA,1,NA,0.7647,NA,0.8571,"latest"
